順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ
-,000824,富ヶ谷店,-,13185696,100.00,15723,838.62,13379,985.55,12894902,0,0,0,0,-,-,187.46,22.35
順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ

1,0212504000000,豚小間切肉　　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,1634870,12.40,1272,1285.28,1159,1410.59,1633598,0,0,0,0,0,1,23.24,1.81
2,0212922000000,豚バラブロック（解凍）　　　　　　　　　　　　　,不定貫　　　　　　　,1180348,8.95,1018,1159.48,648,1821.52,1179330,0,0,0,0,0,1069,16.78,1.45
3,0212925000000,豚バラスライス（解凍）　　　　　　　　　　　　　,不定貫　　　　　　　,1017232,7.71,794,1281.15,614,1656.73,1016438,0,0,0,0,1501,1501,14.46,1.13
4,0212505000000,豚小間切肉（中）　　　　　　　　　　　　　　　　,不定貫　　　　　　　,562397,4.27,779,721.95,767,733.24,561618,0,0,0,0,0,1,8.00,1.11
5,0212926000000,豚バラカルビ（解凍）　　　　　　　　　　　　　　,不定貫　　　　　　　,502697,3.81,583,862.26,375,1340.53,502114,0,0,0,0,1501,1501,7.15,0.83
6,0212518000000,豚ミックス切落し　　　　　　　　　　　　　　　　,不定貫　　　　　　　,466820,3.54,590,791.22,563,829.17,466230,0,0,0,0,0,1,6.64,0.84
7,0212691000000,国産豚小間切肉　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,449122,3.41,642,699.57,606,741.13,448480,0,0,0,0,0,1,6.39,0.91
8,0212528000000,豚ロース切身　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,445866,3.38,490,909.93,412,1082.20,445376,0,0,0,0,54,1,6.34,0.70
9,0212506000000,豚挽肉（解凍）　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,442962,3.36,576,769.03,480,922.84,442386,0,0,0,0,129,1,6.30,0.82
10,0212557000000,豚肩ロースブロック　　　　　　　　　　　　　　　,不定貫　　　　　　　,425230,3.22,245,1735.63,198,2147.63,424985,0,0,0,0,0,1,6.05,0.35
11,0212530000000,豚ロース生姜焼用　　　　　　　　　　　　　　　　,不定貫　　　　　　　,406267,3.08,560,725.48,409,993.32,405707,0,0,0,0,0,1,5.78,0.80
12,0212937000000,豚バラスライス（中）解凍　　　　　　　　　　　　,不定貫　　　　　　　,360970,2.74,529,682.36,520,694.17,360441,0,0,0,0,0,1393,5.13,0.75
13,0212532000000,豚ロースしゃぶしゃぶ　　　　　　　　　　　　　　,不定貫　　　　　　　,289209,2.19,410,705.39,352,821.62,288799,0,0,0,0,0,1,4.11,0.58
14,0212927000000,豚バラしゃぶしゃぶ（解凍）　　　　　　　　　　　,不定貫　　　　　　　,268504,2.04,358,750.01,280,958.94,268146,0,0,0,0,1717,1717,3.82,0.51
15,0212562000000,豚肩ロースしゃぶしゃぶ　　　　　　　　　　　　　,不定貫　　　　　　　,256033,1.94,367,697.64,328,780.59,255666,0,0,0,0,0,1,3.64,0.52
16,0212524000000,豚ロース真空（１本物）　　　　　　　　　　　　　,不定貫　　　　　　　,240746,1.83,50,4814.92,44,5471.50,240696,0,0,0,0,0,1,3.42,0.07
17,0212582000000,トンテキ（豚味付肉）　　　　　　　　　　　　　　,不定貫　　　　　　　,235462,1.79,391,602.20,347,678.56,235071,0,0,0,0,1285,1285,3.35,0.56
18,0212517000000,豚肩煮豚用　　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,234425,1.78,250,937.70,209,1121.65,234175,0,0,0,0,0,1,3.33,0.36
19,0212525000000,豚ロースブロック　　　　　　　　　　　　　　　　,不定貫　　　　　　　,233997,1.77,244,959.00,199,1175.86,233753,0,0,0,0,0,1,3.33,0.35
20,0212636000000,豚肩ロースねぎ塩焼き　　　　　　　　　　,不定貫　　　　　　　,232152,1.76,354,655.80,332,699.25,231798,0,0,0,0,1,1,3.30,0.50
21,0212553000000,豚バラ厚切り肉　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,222479,1.69,259,858.99,222,1002.16,222220,0,0,0,0,0,1,3.16,0.37
22,0212589000000,豚味付け肉　　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,206405,1.57,351,588.05,317,651.12,206054,0,0,0,0,0,106,2.93,0.50
23,0212503000000,豚カレー・シチュー用　　　　　　　　　　　　　　,不定貫　　　　　　　,193665,1.47,173,1119.45,111,1744.73,193492,0,0,0,0,0,1,2.75,0.25
24,0212556000000,豚肩ロース真空（１本物）　　　　　　　　　　　　,不定貫　　　　　　　,190855,1.45,56,3408.13,39,4893.72,190799,0,0,0,0,0,1,2.71,0.08
25,0212565000000,豚バックリブ（骨付き）　　　　　　　　　　　　　,豚バックリブ骨付き　,189919,1.44,194,978.96,152,1249.47,189725,0,0,0,0,0,1,2.70,0.28
26,0212726000000,国産豚バラスライス　　　　　　　　　　　　　　　,不定貫　　　　　　　,177929,1.35,300,593.10,279,637.74,177629,0,0,0,0,0,1,2.53,0.43
27,0212740000000,国産豚肩ロースしゃぶしゃぶ　　　　　　　　　　　,不定貫　　　　　　　,170200,1.29,296,575.00,277,614.44,169904,0,0,0,0,1,1,2.42,0.42
28,0212522000000,豚小間切肉（小）　　　　　　　　　　　　　　　　,定貫　　　　　　　　,168047,1.27,408,411.88,404,415.96,167639,0,0,0,0,1,1,2.39,0.58
29,0212713000000,国産豚ローススライス　　　　　　　　　　　　　　,不定貫　　　　　　　,138148,1.05,241,573.23,212,651.64,137907,0,0,0,0,0,1,1.96,0.34
30,0212783000000,国産豚バラ先軟骨　　　　　　　　　　　　　　　　,不定貫　　　　　　　,137780,1.04,277,497.40,198,695.86,137503,0,0,0,0,0,1,1.96,0.39
31,0212725000000,国産豚バラカルビ焼肉　　　　　　　　　　　　　　,不定貫　　　　　　　,135862,1.03,206,659.52,186,730.44,135656,0,0,0,0,0,1,1.93,0.29
32,0212512000000,豚トロ焼肉用　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,131704,1.00,277,475.47,234,562.84,131427,0,0,0,0,1,1,1.87,0.39
33,0212644000000,豚皮付バラブロック　　　　　　　　　　　　　　　,不定貫　　　　　　　,131517,1.00,102,1289.38,89,1477.72,131415,0,0,0,0,1598,1598,1.87,0.15
34,0212714000000,国産豚ロースしゃぶしゃぶ　　　　　　　　　　　　,不定貫　　　　　　　,131092,0.99,221,593.18,191,686.35,130871,0,0,0,0,1,1,1.86,0.31
35,0212584000000,豚ヒレブロック真空　　　　　　　　　　　　　　　,不定貫　　　　　　　,128748,0.98,71,1813.35,63,2043.62,128677,0,0,0,0,0,1,1.83,0.10
36,0212710000000,国産豚ロース切身　　　　　　　　　　　　　　　　,不定貫　　　　　　　,124967,0.95,168,743.85,144,867.83,124799,0,0,0,0,2138,1,1.78,0.24
37,4549049000719,豚タンハラミスライス　　　　　　　　　　　　　　,２００Ｇ　　　　　　,70830,0.54,185,382.86,163,434.54,37530,0,0,0,0,430,430,1.01,0.26
38,4549049017038,豚切りモツ（国産）　　　　　　　　　　　　　　　,８００Ｇ　　　　　　,52140,0.40,66,790.00,54,965.56,25265,0,0,0,0,853,754,0.74,0.09
39,4549049000078,シロコロホルモン（生）　　　　　　　　　　　　　,２００ｇ　　　　　　,49502,0.38,132,375.02,110,450.02,18746,0,0,0,0,430,430,0.70,0.19
40,0212568000000,豚ロース味噌漬け肉　　　　　　　　　　　　　　　,不定貫　　　　　　　,48825,0.37,74,659.80,65,751.15,1835,0,0,0,0,0,1069,0.69,0.11
41,0212769000000,豚ホルモン味付肉（辛口）　　　　　　　　　　　　,不定貫　　　　　　　,48677,0.37,162,300.48,142,342.80,48515,0,0,0,0,0,139,0.69,0.23
42,0212768000000,豚ホルモン味付肉　　　　　　　　　　　　　　　　,不定貫　　　　　　　,47748,0.36,158,302.20,142,336.25,47590,0,0,0,0,0,139,0.68,0.22
43,0212590000000,豚タン焼肉用切落し　　　　　　　　　　　　　　　,不定貫　　　　　　　,47495,0.36,97,489.64,89,533.65,47398,0,0,0,0,0,1,0.68,0.14
44,4549049000122,ホルモンミックス（生・赤物）　　　　　　　　　　,２３０ｇ　　　　　　,46593,0.35,126,369.79,112,416.01,18243,0,0,0,0,430,430,0.66,0.18
45,4549049000757,豚ハツスライス　　　　　　　　　　　　　　　　　,２００Ｇ　　　　　　,43487,0.33,118,368.53,108,402.66,24607,0,0,0,0,430,430,0.62,0.17
46,4549049000740,豚レバースライス　　　　　　　　　　　　　　　　,２００Ｇ　　　　　　,42110,0.32,120,350.92,112,375.98,24110,0,0,0,0,430,430,0.60,0.17
47,4549049000177,生ホルモンミックス　　　　　　　　　　　　　　　,２８０ｇ　　　　　　,31951,0.24,92,347.29,85,375.89,12539,0,0,0,0,430,430,0.45,0.13
48,0212810000000,冷凍国産豚脂　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,26530,0.20,33,803.94,19,1396.32,26497,0,0,0,0,0,1,0.38,0.05
49,0212960000000,冷凍国産豚骨（カット）　　　　　　　　　　　　　,不定貫　　　　　　　,24447,0.19,49,498.92,37,660.73,15137,0,0,0,0,0,378,0.35,0.07
50,4533008000018,国産豚生ホルモン味付け　　　　　　　　　　　　　,４９０ｇ　　　　　　,20880,0.16,36,580.00,30,696.00,6300,0,0,0,0,626,646,0.30,0.05
51,0212806000000,冷凍国産豚足　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,18912,0.14,28,675.43,24,788.00,18884,0,0,0,0,0,1,0.27,0.04
52,0212818000000,冷凍国産豚背骨（ガラ）　　　　　　　　　　　　　,不定貫　　　　　　　,18783,0.14,30,626.10,26,722.42,18753,0,0,0,0,1,1,0.27,0.04
53,4982816161938,冷凍国産豚ガツ真空　　　　　　　　　　　　　　　,８００Ｇ　　　　　　,12640,0.10,16,790.00,16,790.00,5312,0,0,0,0,853,853,0.18,0.02
54,4549049017106,国産豚レバー（真空）　　　　　　　　　　　　　　,１，０００ＫＧ　　　,12250,0.09,25,490.00,24,510.42,5100,0,0,0,0,529,529,0.17,0.04
55,0212805000000,冷凍国産豚耳　　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,12190,0.09,20,609.50,19,641.58,12170,0,0,0,0,0,1,0.17,0.03
56,4549049017021,冷凍国産豚小腸（真空）　　　　　　　　　　　　　,１０００Ｇ　　　　　,11850,0.09,15,790.00,10,1185.00,5205,0,0,0,0,853,853,0.17,0.02
57,4533008006096,国産豚ハラミかしら味付け　　　　　　　　　　　　,２５０ｇ　　　　　　,10458,0.08,21,498.00,15,697.20,3633,0,0,0,0,538,538,0.15,0.03
58,0212681000000,冷凍豚アイスバイン　　　　　　　　　　　　　　　,不定貫　　　　　　　,8341,0.06,8,1042.63,7,1191.57,8333,0,0,0,0,1,1,0.12,0.01
59,0212540000000,豚バラ真空（１本物）　　　　　　　　　　　　　　,不定貫　　　　　　　,5772,0.04,1,5772.00,1,5772.00,5771,0,0,0,0,0,1,0.08,0.00
60,0212723000000,国産豚バラブロック　　　　　　　　　　　　　　　,不定貫　　　　　　　,4397,0.03,2,2198.50,2,2198.50,4395,0,0,0,0,1017,1,0.06,0.00
61,4582118311248,豚ミノスタミナ味付肉（焼肉）　　　　　　　　　　,６００ｇ　　　　　　,2490,0.02,5,498.00,5,498.00,740,0,0,0,0,538,646,0.04,0.01
62,0212585000000,豚ヒレブロック　　　　　　　　　　　　　　　　　,不定貫　　　　　　　,1772,0.01,2,886.00,2,886.00,1770,0,0,0,0,0,1,0.03,0.00
